,Paths,Label
0,../Data/Train/BL3-1-DL\slice00200 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
1,../Data/Train/BL3-1-DL\slice00200 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
2,../Data/Train/BL3-1-DL\slice00200 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
3,../Data/Train/BL3-1-DL\slice00200 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
4,../Data/Train/BL3-1-DL\slice00200 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
5,../Data/Train/BL3-1-DL\slice00200 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
6,../Data/Train/BL3-1-DL\slice00200 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
7,../Data/Train/BL3-1-DL\slice00200 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
8,../Data/Train/BL3-1-DL\slice00200 (2020_05_17 16_28_34 UTC)_bbox_raw_9.png,0
9,../Data/Train/BL3-1-DL\slice00210 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
10,../Data/Train/BL3-1-DL\slice00210 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
11,../Data/Train/BL3-1-DL\slice00210 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
12,../Data/Train/BL3-1-DL\slice00210 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
13,../Data/Train/BL3-1-DL\slice00210 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
14,../Data/Train/BL3-1-DL\slice00210 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
15,../Data/Train/BL3-1-DL\slice00210 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
16,../Data/Train/BL3-1-DL\slice00210 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
17,../Data/Train/BL3-1-DL\slice00220 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
18,../Data/Train/BL3-1-DL\slice00220 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
19,../Data/Train/BL3-1-DL\slice00220 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
20,../Data/Train/BL3-1-DL\slice00220 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
21,../Data/Train/BL3-1-DL\slice00220 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
22,../Data/Train/BL3-1-DL\slice00220 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
23,../Data/Train/BL3-1-DL\slice00220 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
24,../Data/Train/BL3-1-DL\slice00220 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
25,../Data/Train/BL3-1-DL\slice00230 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
26,../Data/Train/BL3-1-DL\slice00230 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
27,../Data/Train/BL3-1-DL\slice00230 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
28,../Data/Train/BL3-1-DL\slice00230 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
29,../Data/Train/BL3-1-DL\slice00230 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
30,../Data/Train/BL3-1-DL\slice00230 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
31,../Data/Train/BL3-1-DL\slice00230 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
32,../Data/Train/BL3-1-DL\slice00230 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
33,../Data/Train/BL3-1-DL\slice00240 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
34,../Data/Train/BL3-1-DL\slice00240 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
35,../Data/Train/BL3-1-DL\slice00240 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
36,../Data/Train/BL3-1-DL\slice00240 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
37,../Data/Train/BL3-1-DL\slice00240 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
38,../Data/Train/BL3-1-DL\slice00240 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
39,../Data/Train/BL3-1-DL\slice00240 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
40,../Data/Train/BL3-1-DL\slice00240 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
41,../Data/Train/BL3-1-DL\slice00250 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
42,../Data/Train/BL3-1-DL\slice00250 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
43,../Data/Train/BL3-1-DL\slice00250 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
44,../Data/Train/BL3-1-DL\slice00250 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
45,../Data/Train/BL3-1-DL\slice00250 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
46,../Data/Train/BL3-1-DL\slice00250 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
47,../Data/Train/BL3-1-DL\slice00250 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
48,../Data/Train/BL3-1-DL\slice00250 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
49,../Data/Train/BL3-1-DL\slice00260 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
50,../Data/Train/BL3-1-DL\slice00260 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
51,../Data/Train/BL3-1-DL\slice00260 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
52,../Data/Train/BL3-1-DL\slice00260 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
53,../Data/Train/BL3-1-DL\slice00260 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
54,../Data/Train/BL3-1-DL\slice00260 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
55,../Data/Train/BL3-1-DL\slice00260 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
56,../Data/Train/BL3-1-DL\slice00260 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
57,../Data/Train/BL3-1-DL\slice00270 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
58,../Data/Train/BL3-1-DL\slice00270 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
59,../Data/Train/BL3-1-DL\slice00270 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
60,../Data/Train/BL3-1-DL\slice00270 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
61,../Data/Train/BL3-1-DL\slice00270 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
62,../Data/Train/BL3-1-DL\slice00270 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
63,../Data/Train/BL3-1-DL\slice00270 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
64,../Data/Train/BL3-1-DL\slice00270 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
65,../Data/Train/BL3-1-DL\slice00280 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
66,../Data/Train/BL3-1-DL\slice00280 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
67,../Data/Train/BL3-1-DL\slice00280 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
68,../Data/Train/BL3-1-DL\slice00280 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
69,../Data/Train/BL3-1-DL\slice00280 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
70,../Data/Train/BL3-1-DL\slice00280 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
71,../Data/Train/BL3-1-DL\slice00280 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
72,../Data/Train/BL3-1-DL\slice00280 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
73,../Data/Train/BL3-1-DL\slice00290 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
74,../Data/Train/BL3-1-DL\slice00290 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
75,../Data/Train/BL3-1-DL\slice00290 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
76,../Data/Train/BL3-1-DL\slice00290 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
77,../Data/Train/BL3-1-DL\slice00290 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
78,../Data/Train/BL3-1-DL\slice00290 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
79,../Data/Train/BL3-1-DL\slice00290 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
80,../Data/Train/BL3-1-DL\slice00290 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
81,../Data/Train/BL3-1-DL\slice00290 (2020_05_17 16_28_34 UTC)_bbox_raw_9.png,0
82,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
83,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
84,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
85,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
86,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
87,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
88,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
89,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
90,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_bbox_raw_9.png,0
91,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
92,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_bbox_raw_10.png,0
93,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
94,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
95,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
96,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
97,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
98,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
99,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
100,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_bbox_raw_9.png,0
101,../Data/Train/BL3-1-DL\slice00320 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
102,../Data/Train/BL3-1-DL\slice00320 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
103,../Data/Train/BL3-1-DL\slice00320 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
104,../Data/Train/BL3-1-DL\slice00320 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
105,../Data/Train/BL3-1-DL\slice00320 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
106,../Data/Train/BL3-1-DL\slice00320 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
107,../Data/Train/BL3-1-DL\slice00320 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
108,../Data/Train/BL3-1-DL\slice00320 (2020_05_17 16_28_34 UTC)_bbox_raw_8.png,0
109,../Data/Train/BL3-1-DL\slice00320 (2020_05_17 16_28_34 UTC)_bbox_raw_9.png,0
110,../Data/Train/BL3-1-DL\slice00330 (2020_05_17 16_28_34 UTC)_bbox_raw_1.png,0
111,../Data/Train/BL3-1-DL\slice00330 (2020_05_17 16_28_34 UTC)_bbox_raw_2.png,0
112,../Data/Train/BL3-1-DL\slice00330 (2020_05_17 16_28_34 UTC)_bbox_raw_3.png,0
113,../Data/Train/BL3-1-DL\slice00330 (2020_05_17 16_28_34 UTC)_bbox_raw_4.png,0
114,../Data/Train/BL3-1-DL\slice00330 (2020_05_17 16_28_34 UTC)_bbox_raw_5.png,0
115,../Data/Train/BL3-1-DL\slice00330 (2020_05_17 16_28_34 UTC)_bbox_raw_6.png,0
116,../Data/Train/BL3-1-DL\slice00330 (2020_05_17 16_28_34 UTC)_bbox_raw_7.png,0
